Дата,Bid,Ask,Цена open,Цена min,Цена max,Цена last,Цена avg,Оборот,Кол-во сделок
31.05.2019,215.06,215.07,212,210.05,215.27,215.1,212.77,9310665830,52147
30.05.2019,212.64,212.72,207.9,207.57,216.45,213.1,212.42,16400616609,90918
29.05.2019,206.9,207,202.11,201.11,207.69,207.14,205.28,8812368872,59966
28.05.2019,201.15,201.21,206,201,206,203.13,203.33,12437024182,44785
27.05.2019,206.13,206.15,204.25,200.84,206.6,206.2,204.42,5750528536,42197
24.05.2019,204.77,204.78,209.49,203.76,210.2,204.5,206.81,6006156709,36247
23.05.2019,208.33,208.43,207,205.84,212.18,208.86,209.08,11409643015,69854
22.05.2019,208.16,208.2,208.92,206.33,210.11,208.1,207.94,7298184223,45259
21.05.2019,208.03,208.15,201.3,199.01,210.98,207.8,206.39,18751786770,122040
20.05.2019,201.32,201.39,200.2,198.3,201.48,200.8,199.73,5459779187,34376
17.05.2019,199.2,199.21,201.8,197.71,202.3,198.89,199.41,9902542894,60595
16.05.2019,203.15,203.2,194.31,194.24,203.45,202.7,199.37,19960322717,118231
15.05.2019,196.17,196.19,193,192.29,198.4,195.61,195.63,26656204261,154445
14.05.2019,189.82,189.93,163,162.65,190.9,189.67,181.31,33090676571,177753
13.05.2019,163.22,163.27,163.48,163,164.34,163,163.53,2773155508,23084
10.05.2019,163.8,163.82,163.6,162.62,164.9,163.61,163.58,2643387041,18298
08.05.2019,164.41,164.44,164.5,163.55,165.44,163.57,164.21,2940513025,19728
07.05.2019,164.73,164.75,165,164.21,166.27,164.21,165.34,3198641151,22631
06.05.2019,164.9,164.91,165,163.34,165.45,165.45,164.33,2559294861,19234
03.05.2019,166.65,166.66,166.2,165.83,166.98,166.31,166.43,2202435450,16676
02.05.2019,166.13,166.19,163.67,163.67,166.85,165.71,165.93,3433673043,28151
